Phonemic,Katakana,PartOfSpeech
[ʔa],ア,語素
[ʔa],ア,語素
[⸣ʔaː],アー,名
[⸢ʔaː],アー,感
[⸢ʔaː],アー,副
[⸢ʔaːʔaː],アーアー,副
[ʔaː⸢i],アーイ,感
[ʔaː⸣gai],アーガイ,名
[⸢ʔaːga⸣ʧaː],アーガチャー,名
[ʔaːga⸢jaː],アーガヤー,感
[⸢ʔaː⸣guru],アーグル,名
[⸢ʔaː⸣guru],アーグル,名
[⸢ʔaː⸣kuŋ],アークン,自動
[⸢ʔaː⸣kuŋ],アークン,助動
[⸢ʔaː⸣kuŋ],アークン,自動
[⸢ʔaː⸣kuŋ],アークン,補動
[⸢ʔaː⸣kuŋ],アークン,補動
[⸢ʔaː⸣sa],アーサ,名
[⸢ʔaː⸣ʣa],アーザ,名
[⸢ʔaːsa⸣nu ⸣suː],アーサヌスー,連
[ʔaː⸢ʣa⸣ma],アーザマ,名
[⸢ʔaːsarakaː⸣sara],アーサラカーサラ,副
[⸢ʔaː⸣ʃi],アーシ,名
[ʔaː⸢ʃi],アーシ,接尾
[⸢ʔaːʃi⸣kiŋ],アーシキン,名
[⸢ʔaː⸣ʃidʒi],アーシジ,名
[ʔaː⸣ʃi ʃi̥⸢ki⸣ruŋ],アーシシキルン,連
[⸢ʔaːʃik⸣kunaː],アーシックナー,名
[⸢ʔaːʃipau⸣ru],アーシパウル,名
[⸢ʔaːʃi⸣ɸu̥ʧi],アーシフチ,名
[⸢ʔaːʃi⸣munu],アーシムヌ,名
[⸢ʔaː⸣ʃira],アーシラ,名
[⸢ʔaːsuku⸣bu],アースクブ,名
[⸢ʔaːsu̥kuri⸣dʒima],アースクリジマ,名
[⸢ʔaːsuŋ],アースン,他動
[⸢ʔaːsuŋ],アースン,他動
[⸢ʔaːsuŋ],アースン,他動
[⸢ʔaːsuŋ],アースン,他動
[⸢ʔaːsuŋ],アースン,他動
[⸢ʔaː⸣suŋ],アースン,他動
[⸢ʔaː⸣suŋ],アースン,他動
[⸢ʔaː⸣suŋ],アースン,他動
[⸢ʔaː⸣suŋ],アースン,他動
[⸢ʔaː⸣suŋ],アースン,他動
[⸢ʔaː⸣dani],アーダニ,名
[ʔaːda⸢riː],アーダリー,感
