noisy_input,clean_katakana_target,phonemic_target
トウリウクナイ,トゥリウクナイ,[⸣turiʔukunai]
クブミ,クブミ,[ku⸢bumi]
シシダマ,シーシダマ,[⸢ʃiː⸣ʃidama]
パナシキ,パナシキ,[pa⸢naʃi̥ki]
ウトゥン,ウドゥン,[⸣ʔuduŋ]
ウラアマアムテイ,ウラーマームテイ,[⸣ʔuraː ⸢maːmuti]
ウキツサ,ウキッサ,[ʔu⸢kissa]
パフカクチ,パブカクチ,[pa⸢bukakuʧi]
ティパン,ティーパン,[⸢tiː⸣paŋ]
ヤアスウラスン,ヤースーラスン,[⸣jaː ⸢suːra⸣suŋ]
ボクン,ボークン,[⸢boːkuŋ]
ピソオムン,ピソームン,[pi̥⸢soː⸣muŋ]
タタカースン,タタカースン,[tḁ⸢takaː⸣suŋ]
ヤーラクン,ヤーラクン,[⸢jaːrakuŋ]
ピニ,ピニ,[pi⸢ni]
アフン,アブン,[⸣ʔabuŋ]
トゥルバイカバイ,トゥルバイカーバイ,[tu⸢rubaikaː⸣bai]
ウットーリルン,ウットーリルン,[⸢ʔuttoːri⸣ruŋ]
ユングマル,ユーングマル,[⸢juːŋguma⸣ru]
グジキー,グジキー,[⸣guʤikiː]
トーンカーンナーヌ,トーンカーンナーヌ,[toː⸢ŋkaːn naː⸣nu]
フクジシティ,フクジシティ,[ɸu̥⸢ku⸣ʤiʃi̥ti]
トゥワ,トゥワー,[⸣-tuwaː]
イスクヒン,イスクビン,[ʔi⸢sukubiŋ]
ガンズームヌ,ガンズームヌ,[⸢ganʣuː⸣munu]
ヤームトゥン,ヤームトゥン,[⸢jaː⸣ mutuŋ]
ヤマイフナ,ヤーマイフナー,[⸢jaːmai⸣ɸunaː]
クイブリヨオ,クイブリヨー,[⸢kuiburi⸣joː]
ソルン,ソールン,[⸢soː⸣ruŋ]
キムピラケーン,キムピラケーン,[ki⸢mupira⸣keːŋ]
オサンマ,オーザンマ,[⸢ʔoː⸣ʣamma]
アンポオティンポオ,アンポーティンポー,[⸢ʔampoːtim⸣poː]
アイシヨ,アイジョー,[⸢ʔaiʤoː]
ドゥーヤッサン,ドゥーヤッサン,[⸢duːjas⸣saŋ]
ヤマヌパタ,ヤマヌパタ,[ja⸢ma⸣nu pḁ⸢ta]
ッサンコーラーン,ッサンコーラーン,[s⸢saŋkoːraː⸣ŋ]
タンカ,タンカー,[⸢taŋkaː]
イチェーラ,イチェーラ,[ʔi⸢ʧeːra]
ヤイルプー,ヤイルプー,[⸢jairupuː]
ノオンテイ,ノーンティ,[naoː⸢nti]
パギ,パギ,[⸣pagi]
アカバニカマサ,アカバニカマサー,[ʔa⸢kabanikamasaː]
ナアンパア,ナーンパー,[⸢naːm⸣paː]
シトウツチマル,シトゥッチマール,[ʃi̥⸢tut⸣ʧimaːru]
ボオウトウン,ボーウトゥン,[⸣boː ⸣ʔutuŋ]
アイッツァスン,アイッツァースン,[⸢ʔaiʦaː⸣suŋ]
シキバカン,シキバカーン,[⸣ʃi̥ki ba⸢kaː⸣ŋ]
ヌンガリン,ヌンガーリン,[⸢nuŋgaː⸣riŋ]
バンゾンガニ,バンゾンガニ,[⸢banʣoŋ⸣gani]
ヌーナルワ,ヌーナルワ,[⸢nuː⸣ na⸢ru⸣wa]
ガッふァンジブン,ガーッふァーンジブン,[⸢gaːffaːnʤibuŋ]
ニボシ,ニボシ,[ni⸢boʃi]
ピキツツアイパラツツアイ,ピキッツァイパラッツァイ,[pi̥⸢kitʦaiparat⸣ʦai]
スクン,スクン,[su̥⸢kuŋ]
ヌシタ,ヌーシタ,[⸣nuːʃita]
トウガミルン,トゥガミルン,[tu⸢gami⸣ruŋ]
ナンカ,ナンカ,[⸢naŋ⸣ka]
グンジュ,グンジュ,[⸢gun⸣ʤu]
ムスン,ムスン,[mu⸢suŋ]
ナマカー,ナマカー,[na⸢ma⸣kaː]
ソニチ,ソーニチ,[⸢soːni⸣ʧi]
プスムトゥマチ,プスムトゥマチ,[pu̥⸢sumutu⸣maʧi]
ミタナブニマラソリ,ミタナブニマラソーリ,[mi⸢tanabuni⸣ ma⸢rasoː⸣ri]
パガニムヌ,パガニムヌ,[pa⸢gani⸣munu]
ウードゥク,ウードゥク,[⸢ʔuː⸣duku]
ター,ター,[⸣taː]
ピーチカイッふァ,ピーチカイッふァ,[⸢piːʧikai⸣ffa]
フンタイ,フンダイ,[⸢ɸundai]
シハアン,シバーン,[ʃi⸢baː⸣ŋ]
イニピキ,イニピキ,[ʔi⸢ni⸣pi̥ki]
ケラ,ケーラ,[keː⸢ra]
パナングミ,パナングミ,[pa⸢naŋ⸣gumi]
シタフ,シタフ,[ʃi̥⸢ta⸣ɸu]
ヌンガアリムニ,ヌンガーリムニ,[⸢nuŋgaːri⸣muni]
モスン,モースン,[⸢moːsuŋ]
プシヌユウベエ,プシヌユーベー,[pu̥⸢ʃi⸣nu ⸢juː⸣beː]
アザーリルン,アザーリルン,[ʔa⸢ʣaːri⸣ruŋ]
イゾーマ,イゾーマ,[ʔi⸢ʣoː⸣ma]
ガンガンシ,ガンガンシ,[⸢gaŋgaŋ⸣ʃi]
バタミチ,バタミチ,[ba⸢ta⸣miʧi]
ナアレエ,ナーレー,[⸢naːre⸣ː]
スブル,スブル,[su⸢bu⸣ru]
バイカンガマ,バイカンガマ,[⸢baikaŋ⸣gama]
ヌビルン,ヌビルン,[nu⸢bi⸣ruŋ]
サタパンビン,サタパンビン,[⸣satapambiŋ]
キモーナーヌ,キモーナーヌ,[⸣kimoː ⸢naː⸣nu]
イルユク,イルユク,[ʔi⸢ru⸣juku]
ウティダカ,ウティダカ,[ʔu⸢ti⸣daka]
ハン,バン,[⸣baŋ]
フナバルウガン,フナバルウガン,[Fu⸢na⸣baruʔugaŋ]
ワタクサア,ワタクサー,[wa⸢ta⸣ku̥saː]
ユウパナシ,ユーパナシ,[⸢juːpana⸣ʃi]
ニビタールン,ニビタールン,[ni⸢bittaruŋ]
ヤアマ,ヤーマ,[⸢jaː⸣ma]
トウシ,トゥーシ,[⸢tuːʃi]
アグダアマ,アグダーマ,[ʔagu⸢daː⸣ma]
アトウ,アトゥ,[⸣ʔatu]
ソキナ,ソーキナー,[⸢soːkinaː]
バンク,バンク,[⸢baŋ⸣ku]
バタ,バタ,[⸣bata]
テインス,ティンスー,[⸢tinsuː]
キムヌドゥムノーミル,キムヌドゥムノーミル,[ki⸢munu⸣du ⸣munoː ⸣miru]
サーリ,サーリ,[⸣saːri]
アサカジ,アサカジ,[ʔa⸢sakaʤi]
